image,split,class,spai
kimon-loghi_autumn.jpg,test,1,0.9999988079071045
theophrastos-triantafyllidis_menidi.jpg,test,1,0.8300001621246338
pierre-jacques-pelletier_vue-portuaire.jpg,test,1,0.3485909402370453
jozef-mehoffer_market-square-in-krakow.jpg,test,1,1.3876900540802208e-15
konstantin-yuon_pine-trees.jpg,test,1,6.497054414467129e-07
john-singer-sargent_corfu-1909.jpg,test,1,0.0005388231365941465
colette-pope-heldner_swamp-idyl-lousiana-bayou-country.jpg,test,1,0.19439929723739624
paul-gauguin_the-forest-path-1873.jpg,test,1,0.18180394172668457
piet-mondrian_farm-sun.jpg,test,1,0.9999998807907104
henri-de-toulouse-lautrec_count-alphonse-de-toulouse-lautrec-driving-a-four-horse-hitch-1881.jpg,test,1,1.289926065267677e-12
hugo-muhlig_lunch-break-in-harvest-time.jpg,test,1,3.967126031056978e-05
camille-pissarro_cour-du-havre-gare-st-lazare-1893.jpg,test,1,1.0
albert-julius-olsson_sunset-cornish-coast-1915.jpg,test,1,0.5720210075378418
theo-van-rysselberghe_portrait-of-children.jpg,test,1,7.122054953168783e-14
matej-sternen_presejanje-ita.jpg,test,1,5.1116176109644584e-06
peder-severin-kroyer_marie-in-ravello-1891.jpg,test,1,0.02000521868467331
george-bellows_breaking-sky-monhegan-1916.jpg,test,1,5.610161224467447e-07
carlos-saenz-de-tejada_view-of-oran-from-the-terrace-of-artist-s-house-1914.jpg,test,1,4.681729933508905e-06
victor-borisov-musatov_a-tree.jpg,test,1,4.252409797682007e-17
columbano-bordalo-pinheiro_o-ser-o-1880.jpg,test,1,6.212812042605265e-09
max-slevogt_the-singer-francisco-d-andrade-as-don-giovanni-in-mozart-s-opera-1912.jpg,test,1,0.003483882639557123
stefan-popescu_forest-vista.jpg,test,1,0.3697366416454315
helene-guinepied_p1-17.jpg,test,1,0.7003884315490723
ibrahim-calli_rumeli-fortress.jpg,test,1,0.9999974966049194
berthe-morisot_young-woman-and-child-avenue-du-bois.jpg,test,1,3.287943715576426e-14
pierre-auguste-renoir_the-garden.jpg,test,1,3.7110934984763144e-12
frank-w-benson_eleanor-in-the-dory-1904.jpg,test,1,0.9845350980758667
charles-courtney-curran_goldenrod-1910.jpg,test,1,0.9998874664306641
alejandro-cabeza_the-path-2001.jpg,test,1,1.0
laszlo-mednyanszky_ruins-of-a-castle.jpg,test,1,0.0074255638755857944
vasile-popescu_garden-in-c-lim-ne-ti-1942.jpg,test,1,0.9999699592590332
edmund-charles-tarbell_across-the-room-1899.jpg,test,1,0.11677077412605286
jozef-mehoffer_self-portrait-1898.jpg,test,1,0.999996542930603
nikolay-bogdanov-belsky_the-former-defender-of-the-homeland.jpg,test,1,0.6343368887901306
robert-spencer_alarm-clock-1928.jpg,test,1,1.6257554191767554e-09
henri-gervex_armenonville-le-soir-du-grand-prix-1905.jpg,test,1,0.8982844948768616
rupert-bunny_the-soothsayer-1913.jpg,test,1,0.6496663093566895
alfred-sisley_the-mills-at-moret-1890.jpg,test,1,0.029951393604278564
edouard-manet_in-the-garden-1870.jpg,test,1,0.4230365753173828
edouard-manet_young-woman-in-a-round-hat-1877.jpg,test,1,0.7522485852241516
armando-montaner-valdueza_landscape.jpg,test,1,1.7126930629274284e-07
theo-van-rysselberghe_encampment-near-a-moroccan-village-1888.jpg,test,1,0.633994460105896
camille-claudel_sakountala-dite-vertumne-et-pomone-1905.jpg,test,1,0.5720930099487305
ernest-lawson_windy-day-bronx-river.jpg,test,1,2.5958285521099356e-10
nicolae-vermont_peasant-woman-with-white-headscarf-1930.jpg,test,1,0.038304880261421204
theodor-pallady_nude-on-the-couch-1943.jpg,test,1,1.401024540737207e-23
willard-metcalf_the-bower.jpg,test,1,1.0184706411564548e-09
william-james-glackens_new-castle-new-hampshire-1909.jpg,test,1,0.9999994039535522
edmund-charles-tarbell_josephine-knitting-1916.jpg,test,1,0.37484264373779297
lucian-grigorescu_dealuri-la-balcic.jpg,test,1,0.9399420619010925
kazimir-malevich_birkenhain-1905.jpg,test,1,0.978131890296936
vincenzo-irolli_la-belle-napolitaine.jpg,test,1,0.0004591432516463101
karoly-ferenczy_b-ni-and-no-mi-1908.jpg,test,1,0.9999945163726807
thalia-flora-karavia_path-in-the-forest.jpg,test,1,0.9970180988311768
konstantin-yuon_the-autumn-view-from-the-balcony.jpg,test,1,1.6768882116213746e-10
stefan-luchian_woman-worker-1893.jpg,test,1,0.9841806888580322
mildred-anne-butler_the-lilac-phlox-kilmurry-co-kilkenny-1912.jpg,test,1,1.210506137975028e-18
edouard-manet_portrait-of-mademoiselle-isabelle-lemonnier.jpg,test,1,2.3984256709185707e-16
octav-angheluta_the-doll.jpg,test,1,4.900140709862555e-11
martin-rico_gathering-oranges-granada.jpg,test,1,0.9999864101409912
rudolf-schweitzer-cumpana_drum-de-iarn-prin-p-dure-1960.jpg,test,1,0.14365655183792114
berthe-morisot_on-a-bench.jpg,test,1,0.5094640851020813
berthe-morisot_the-flageolet.jpg,test,1,0.9608901143074036
eva-gonzales_a-box-at-the-italian-theatre-1874.jpg,test,1,0.39718976616859436
lesser-ury_am-bahnhof-friedrichstra-e-1888.jpg,test,1,0.4152720868587494
jacek-malczewski_ukrainian-1891.jpg,test,1,1.4683735116705066e-07
james-mcneill-whistler_study-of-a-head.jpg,test,1,0.00026596387033350766
