image,class,prediction
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/surrealism/Abercrombie_1938_Tree_at_Aledo.jpg,0,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/surrealism/Abercrombie_1949_Hand_and_Tent.jpg,0,0.9996
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/surrealism/Abercrombie_1955_A_Picture_in_a_Picture_in_a_Picture.jpg,0,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/surrealism/Abercrombie_1969_Doorway.jpg,0,0.005
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/surrealism/Adrian_Borda_Artist_in_love.jpg,0,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/surrealism/Adrian_Borda_Little_mermaid_angel.jpg,0,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/surrealism/Adrian_Borda_Love_slowly_kills.jpg,0,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/surrealism/Adrian_Borda_The_Pursuit_of_Happiness.jpg,0,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/surrealism/Adulyasaraphan_1994_Corruption_of_Village_and_Town.jpg,0,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/surrealism/Agim_Meta_2006_The_Leg_of_the_Elephant_that_is_reflected_in_the_pool.jpg,0,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/surrealism/Agim_Meta_2007_And_the_flies_are_important_in_the_Art.jpg,0,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/surrealism/Agim_Meta_2007_Doctor_Adhamudhi_and_the_big_hand_with_small_people.jpg,0,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/surrealism/Agim_Meta_2008_Around_the_deep_incubation.jpg,0,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/surrealism/Agim_Meta_2008_The_paranoia_of_Leonardo_Da_Vinci.jpg,0,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/surrealism/Andrea_Barreda_Amor_platonico.jpg,0,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/surrealism/Andrea_Barreda_The_Four_Elements.jpg,0,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/surrealism/Andrea_Barreda_White_raven.jpg,0,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/surrealism/Antoni_Lamolla_.jpg,0,0.0001
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/surrealism/Antoni_Lamolla_1934_It_rained_songs.jpg,0,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/surrealism/Antoni_Lamolla_1935-1936_Untitled.jpg,0,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/surrealism/Antoni_Lamolla_1945_La_Musique.jpg,0,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/surrealism/Antoni_Tapies_1948_Place_of_Mus.jpg,0,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/surrealism/Antoni_Tapies_1949_The_Eyes_of_the_Foliage.jpg,0,0.0002
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/surrealism/Arkadiusz_Dzielawski_Metamorphosis.jpg,0,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/surrealism/Bahtiar_2007_Revelation.jpg,0,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/surrealism/Bahtiar_2007_The_Tourist.jpg,0,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/surrealism/Bahtiar_2008_Heritage_Pallete.jpg,0,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/surrealism/Bahtiar_2013_Fallen_Black_Star.jpg,0,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/surrealism/Bernard_Dumaine_1982_La_grande_peur_--The_great_fear--.jpg,0,0.0
